"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2002"	"2002"	"25-34 years"	"25-34"	"Female"	"F"	10	295326	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"25-34 years"	"25-34"	"Male"	"M"	69	288345	23.9
	"Alabama"	"01"	"2002"	"2002"	"35-44 years"	"35-44"	"Female"	"F"	12	340884	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"35-44 years"	"35-44"	"Male"	"M"	46	325253	14.1
	"Alabama"	"01"	"2002"	"2002"	"45-54 years"	"45-54"	"Male"	"M"	26	306036	8.5
	"Alabama"	"01"	"2002"	"2002"	"55-64 years"	"55-64"	"Male"	"M"	16	212993	Unreliable
	"Alabama"	"01"	"2003"	"2003"	"15-24 years"	"15-24"	"Male"	"M"	90	327242	27.5
	"Alabama"	"01"	"2003"	"2003"	"25-34 years"	"25-34"	"Female"	"F"	11	295047	Unreliable
	"Alabama"	"01"	"2003"	"2003"	"25-34 years"	"25-34"	"Male"	"M"	65	288062	22.6
	"Alabama"	"01"	"2003"	"2003"	"35-44 years"	"35-44"	"Female"	"F"	17	335121	Unreliable
	"Alabama"	"01"	"2003"	"2003"	"35-44 years"	"35-44"	"Male"	"M"	47	320230	14.7
	"Alabama"	"01"	"2003"	"2003"	"45-54 years"	"45-54"	"Female"	"F"	13	328769	Unreliable
	"Alabama"	"01"	"2003"	"2003"	"45-54 years"	"45-54"	"Male"	"M"	31	310588	10.0
	"Alabama"	"01"	"2003"	"2003"	"55-64 years"	"55-64"	"Male"	"M"	14	222255	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"15-24 years"	"15-24"	"Female"	"F"	14	322995	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"15-24 years"	"15-24"	"Male"	"M"	55	328849	16.7
	"Alabama"	"01"	"2004"	"2004"	"25-34 years"	"25-34"	"Female"	"F"	14	296051	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"25-34 years"	"25-34"	"Male"	"M"	65	287709	22.6
	"Alabama"	"01"	"2004"	"2004"	"35-44 years"	"35-44"	"Female"	"F"	10	330674	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"35-44 years"	"35-44"	"Male"	"M"	44	317137	13.9
	"Alabama"	"01"	"2004"	"2004"	"45-54 years"	"45-54"	"Male"	"M"	26	314363	8.3
	"Alabama"	"01"	"2004"	"2004"	"55-64 years"	"55-64"	"Male"	"M"	11	232067	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"15-24 years"	"15-24"	"Female"	"F"	14	325373	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"15-24 years"	"15-24"	"Male"	"M"	76	332107	22.9
	"Alabama"	"01"	"2005"	"2005"	"25-34 years"	"25-34"	"Female"	"F"	11	297227	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"25-34 years"	"25-34"	"Male"	"M"	87	288604	30.1
	"Alabama"	"01"	"2005"	"2005"	"35-44 years"	"35-44"	"Female"	"F"	14	328389	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"35-44 years"	"35-44"	"Male"	"M"	45	314366	14.3
	"Alabama"	"01"	"2005"	"2005"	"45-54 years"	"45-54"	"Male"	"M"	35	320096	10.9
	"Alabama"	"01"	"2006"	"2006"	"15-24 years"	"15-24"	"Female"	"F"	14	327579	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"15-24 years"	"15-24"	"Male"	"M"	96	335663	28.6
	"Alabama"	"01"	"2006"	"2006"	"25-34 years"	"25-34"	"Female"	"F"	15	300430	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"25-34 years"	"25-34"	"Male"	"M"	79	290631	27.2
	"Alabama"	"01"	"2006"	"2006"	"35-44 years"	"35-44"	"Female"	"F"	14	328049	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"35-44 years"	"35-44"	"Male"	"M"	43	314657	13.7
	"Alabama"	"01"	"2006"	"2006"	"45-54 years"	"45-54"	"Male"	"M"	27	326177	8.3
	"Alabama"	"01"	"2006"	"2006"	"55-64 years"	"55-64"	"Male"	"M"	13	250793	Unreliable
	"Alabama"	"01"	"2006"	"2006"	"65-74 years"	"65-74"	"Male"	"M"	11	153107	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"15-24 years"	"15-24"	"Female"	"F"	15	330436	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"15-24 years"	"15-24"	"Male"	"M"	108	338136	31.9
	"Alabama"	"01"	"2007"	"2007"	"25-34 years"	"25-34"	"Female"	"F"	13	302088	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"25-34 years"	"25-34"	"Male"	"M"	94	291564	32.2
	"Alabama"	"01"	"2007"	"2007"	"35-44 years"	"35-44"	"Female"	"F"	17	325948	Unreliable
	"Alabama"	"01"	"2007"	"2007"	"35-44 years"	"35-44"	"Male"	"M"	53	313008	16.9
	"Alabama"	"01"	"2007"	"2007"	"45-54 years"	"45-54"	"Male"	"M"	36	330732	10.9
	"Alabama"	"01"	"2007"	"2007"	"55-64 years"	"55-64"	"Male"	"M"	10	259292	Unreliable
	"Alabama"	"01"	"2008"	"2008"	"15-24 years"	"15-24"	"Female"	"F"	14	333638	Unreliable
	"Alabama"	"01"	"2008"	"2008"	"15-24 years"	"15-24"	"Male"	"M"	88	340693	25.8
	"Alabama"	"01"	"2008"	"2008"	"25-34 years"	"25-34"	"Female"	"F"	15	304221	Unreliable
	"Alabama"	"01"	"2008"	"2008"	"25-34 years"	"25-34"	"Male"	"M"	90	294555	30.6
	"Alabama"	"01"	"2008"	"2008"	"35-44 years"	"35-44"	"Female"	"F"	13	322821	Unreliable
	"Alabama"	"01"	"2008"	"2008"	"35-44 years"	"35-44"	"Male"	"M"	52	309813	16.8
	"Alabama"	"01"	"2008"	"2008"	"45-54 years"	"45-54"	"Male"	"M"	29	334324	8.7
	"Alabama"	"01"	"2008"	"2008"	"55-64 years"	"55-64"	"Male"	"M"	12	266305	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"15-24 years"	"15-24"	"Female"	"F"	11	336154	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"15-24 years"	"15-24"	"Male"	"M"	64	342574	18.7
	"Alabama"	"01"	"2009"	"2009"	"25-34 years"	"25-34"	"Female"	"F"	17	306876	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"25-34 years"	"25-34"	"Male"	"M"	84	298675	28.1
	"Alabama"	"01"	"2009"	"2009"	"35-44 years"	"35-44"	"Female"	"F"	17	319030	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"35-44 years"	"35-44"	"Male"	"M"	42	307619	13.7
	"Alabama"	"01"	"2009"	"2009"	"45-54 years"	"45-54"	"Female"	"F"	10	355380	Unreliable
	"Alabama"	"01"	"2009"	"2009"	"45-54 years"	"45-54"	"Male"	"M"	35	337354	10.4
	"Alabama"	"01"	"2009"	"2009"	"55-64 years"	"55-64"	"Male"	"M"	12	273893	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"15-24 years"	"15-24"	"Male"	"M"	76	342671	22.2
	"Alabama"	"01"	"2010"	"2010"	"25-34 years"	"25-34"	"Female"	"F"	11	308782	Unreliable
	"Alabama"	"01"	"2010"	"2010"	"25-34 years"	"25-34"	"Male"	"M"	71	300140	23.7
	"Alabama"	"01"	"2010"	"2010"	"35-44 years"	"35-44"	"Male"	"M"	35	303785	11.5
	"Alabama"	"01"	"2010"	"2010"	"45-54 years"	"45-54"	"Male"	"M"	31	337828	9.2
	"Alabama"	"01"	"2010"	"2010"	"55-64 years"	"55-64"	"Male"	"M"	20	281236	7.1
	"Alabama"	"01"	"2011"	"2011"	"15-24 years"	"15-24"	"Female"	"F"	10	337336	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"15-24 years"	"15-24"	"Male"	"M"	75	343899	21.8
	"Alabama"	"01"	"2011"	"2011"	"25-34 years"	"25-34"	"Female"	"F"	15	311918	Unreliable
	"Alabama"	"01"	"2011"	"2011"	"25-34 years"	"25-34"	"Male"	"M"	82	302589	27.1
	"Alabama"	"01"	"2011"	"2011"	"35-44 years"	"35-44"	"Male"	"M"	31	297322	10.4
	"Alabama"	"01"	"2011"	"2011"	"45-54 years"	"45-54"	"Male"	"M"	26	333025	7.8
	"Alabama"	"01"	"2011"	"2011"	"55-64 years"	"55-64"	"Male"	"M"	12	291585	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"15-24 years"	"15-24"	"Female"	"F"	12	334944	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"15-24 years"	"15-24"	"Male"	"M"	87	341668	25.5
	"Alabama"	"01"	"2012"	"2012"	"25-34 years"	"25-34"	"Female"	"F"	11	313628	Unreliable
	"Alabama"	"01"	"2012"	"2012"	"25-34 years"	"25-34"	"Male"	"M"	68	304129	22.4
	"Alabama"	"01"	"2012"	"2012"	"35-44 years"	"35-44"	"Male"	"M"	50	296236	16.9
	"Alabama"	"01"	"2012"	"2012"	"45-54 years"	"45-54"	"Male"	"M"	30	327318	9.2
	"Alabama"	"01"	"2012"	"2012"	"55-64 years"	"55-64"	"Male"	"M"	14	293865	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"15-24 years"	"15-24"	"Female"	"F"	14	333985	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"15-24 years"	"15-24"	"Male"	"M"	76	342198	22.2
	"Alabama"	"01"	"2013"	"2013"	"25-34 years"	"25-34"	"Female"	"F"	12	314975	Unreliable
	"Alabama"	"01"	"2013"	"2013"	"25-34 years"	"25-34"	"Male"	"M"	86	306009	28.1
	"Alabama"	"01"	"2013"	"2013"	"35-44 years"	"35-44"	"Male"	"M"	52	296343	17.5
	"Alabama"	"01"	"2013"	"2013"	"45-54 years"	"45-54"	"Male"	"M"	31	323076	9.6
	"Alabama"	"01"	"2013"	"2013"	"55-64 years"	"55-64"	"Male"	"M"	12	296949	Unreliable
	"Alabama"	"01"	"2014"	"2014"	"15-24 years"	"15-24"	"Male"	"M"	62	338835	18.3
	"Alabama"	"01"	"2014"	"2014"	"25-34 years"	"25-34"	"Female"	"F"	14	318121	Unreliable
	"Alabama"	"01"	"2014"	"2014"	"25-34 years"	"25-34"	"Male"	"M"	76	308266	24.7
	"Alabama"	"01"	"2014"	"2014"	"35-44 years"	"35-44"	"Male"	"M"	64	294965	21.7
	"Alabama"	"01"	"2014"	"2014"	"45-54 years"	"45-54"	"Male"	"M"	22	319211	6.9
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Female"	"F"	19	328292	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"15-24 years"	"15-24"	"Male"	"M"	81	334890	24.2
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Female"	"F"	16	321456	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"25-34 years"	"25-34"	"Male"	"M"	107	311270	34.4
	"Alabama"	"01"	"2015"	"2015"	"35-44 years"	"35-44"	"Female"	"F"	12	309233	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"35-44 years"	"35-44"	"Male"	"M"	61	293263	20.8
	"Alabama"	"01"	"2015"	"2015"	"45-54 years"	"45-54"	"Female"	"F"	14	333918	Unreliable
	"Alabama"	"01"	"2015"	"2015"	"45-54 years"	"45-54"	"Male"	"M"	41	315524	13.0
	"Alabama"	"01"	"2015"	"2015"	"55-64 years"	"55-64"	"Male"	"M"	21	303874	6.9
	"Alaska"	"02"	"2006"	"2006"	"15-24 years"	"15-24"	"Male"	"M"	11	58617	Unreliable
	"Alaska"	"02"	"2015"	"2015"	"15-24 years"	"15-24"	"Male"	"M"	11	62243	Unreliable
	"Arizona"	"04"	"1999"	"1999"	"15-24 years"	"15-24"	"Female"	"F"	21	339691	6.2
	"Arizona"	"04"	"1999"	"1999"	"15-24 years"	"15-24"	"Male"	"M"	88	371056	23.7
	"Arizona"	"04"	"1999"	"1999"	"25-34 years"	"25-34"	"Female"	"F"	14	354781	Unreliable
	"Arizona"	"04"	"1999"	"1999"	"25-34 years"	"25-34"	"Male"	"M"	75	383757	19.5
	"Arizona"	"04"	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	13	376826	Unreliable
	"Arizona"	"04"	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	40	384610	10.4
	"Arizona"	"04"	"1999"	"1999"	"45-54 years"	"45-54"	"Male"	"M"	16	296226	Unreliable
	"Arizona"	"04"	"2000"	"2000"	"15-24 years"	"15-24"	"Female"	"F"	12	348888	Unreliable
	"Arizona"	"04"	"2000"	"2000"	"15-24 years"	"15-24"	"Male"	"M"	76	381694	19.9
	"Arizona"	"04"	"2000"	"2000"	"25-34 years"	"25-34"	"Male"	"M"	73	387066	18.9
	"Arizona"	"04"	"2000"	"2000"	"35-44 years"	"35-44"	"Female"	"F"	10	380147	Unreliable
	"Arizona"	"04"	"2000"	"2000"	"35-44 years"	"35-44"	"Male"	"M"	37	388657	9.5
	"Arizona"	"04"	"2000"	"2000"	"45-54 years"	"45-54"	"Male"	"M"	15	307789	Unreliable
	"Arizona"	"04"	"2000"	"2000"	"55-64 years"	"55-64"	"Male"	"M"	10	210410	Unreliable
	"Arizona"	"04"	"2001"	"2001"	"15-24 years"	"15-24"	"Male"	"M"	118	396314	29.8
	"Arizona"	"04"	"2001"	"2001"	"25-34 years"	"25-34"	"Female"	"F"	16	358817	Unreliable
	"Arizona"	"04"	"2001"	"2001"	"25-34 years"	"25-34"	"Male"	"M"	81	389750	20.8
	"Arizona"	"04"	"2001"	"2001"	"35-44 years"	"35-44"	"Female"	"F"	16	384454	Unreliable
	"Arizona"	"04"	"2001"	"2001"	"35-44 years"	"35-44"	"Male"	"M"	41	393437	10.4
	"Arizona"	"04"	"2001"	"2001"	"45-54 years"	"45-54"	"Male"	"M"	21	325535	6.5
	"Arizona"	"04"	"2002"	"2002"	"15-24 years"	"15-24"	"Male"	"M"	114	406526	28.0
	"Arizona"	"04"	"2002"	"2002"	"25-34 years"	"25-34"	"Female"	"F"	12	365794	Unreliable
	"Arizona"	"04"	"2002"	"2002"	"25-34 years"	"25-34"	"Male"	"M"	88	395513	22.2
	"Arizona"	"04"	"2002"	"2002"	"35-44 years"	"35-44"	"Female"	"F"	12	386601	Unreliable
	"Arizona"	"04"	"2002"	"2002"	"35-44 years"	"35-44"	"Male"	"M"	60	395476	15.2
	"Arizona"	"04"	"2002"	"2002"	"45-54 years"	"45-54"	"Male"	"M"	25	334374	7.5
	"Arizona"	"04"	"2003"	"2003"	"15-24 years"	"15-24"	"Female"	"F"	14	382627	Unreliable
	"Arizona"	"04"	"2003"	"2003"	"15-24 years"	"15-24"	"Male"	"M"	94	413751	22.7
	"Arizona"	"04"	"2003"	"2003"	"25-34 years"	"25-34"	"Male"	"M"	86	399473	21.5
	"Arizona"	"04"	"2003"	"2003"	"35-44 years"	"35-44"	"Female"	"F"	11	387295	Unreliable
	"Arizona"	"04"	"2003"	"2003"	"35-44 years"	"35-44"	"Male"	"M"	48	395903	12.1
	"Arizona"	"04"	"2003"	"2003"	"45-54 years"	"45-54"	"Male"	"M"	26	344210	7.6
	"Arizona"	"04"	"2003"	"2003"	"Not Stated"	"NS"	"Male"	"M"	10	Not Applicable	Not Applicable
	"Arizona"	"04"	"2004"	"2004"	"15-24 years"	"15-24"	"Female"	"F"	10	390961	Unreliable
	"Arizona"	"04"	"2004"	"2004"	"15-24 years"	"15-24"	"Male"	"M"	101	423246	23.9
	"Arizona"	"04"	"2004"	"2004"	"25-34 years"	"25-34"	"Female"	"F"	10	380982	Unreliable
	"Arizona"	"04"	"2004"	"2004"	"25-34 years"	"25-34"	"Male"	"M"	90	407448	22.1
	"Arizona"	"04"	"2004"	"2004"	"35-44 years"	"35-44"	"Female"	"F"	11	391058	Unreliable
	"Arizona"	"04"	"2004"	"2004"	"35-44 years"	"35-44"	"Male"	"M"	52	400602	13.0
	"Arizona"	"04"	"2004"	"2004"	"45-54 years"	"45-54"	"Male"	"M"	18	355246	Unreliable
	"Arizona"	"04"	"2004"	"2004"	"55-64 years"	"55-64"	"Male"	"M"	12	266773	Unreliable
	"Arizona"	"04"	"2005"	"2005"	"15-24 years"	"15-24"	"Female"	"F"	13	400688	Unreliable
	"Arizona"	"04"	"2005"	"2005"	"15-24 years"	"15-24"	"Male"	"M"	136	434592	31.3
	"Arizona"	"04"	"2005"	"2005"	"25-34 years"	"25-34"	"Female"	"F"	10	394203	Unreliable
	"Arizona"	"04"	"2005"	"2005"	"25-34 years"	"25-34"	"Male"	"M"	111	417722	26.6
	"Arizona"	"04"	"2005"	"2005"	"35-44 years"	"35-44"	"Male"	"M"	44	409089	10.8
	"Arizona"	"04"	"2005"	"2005"	"45-54 years"	"45-54"	"Male"	"M"	27	370020	7.3
	"Arizona"	"04"	"2006"	"2006"	"15-24 years"	"15-24"	"Female"	"F"	18	410736	Unreliable
	"Arizona"	"04"	"2006"	"2006"	"15-24 years"	"15-24"	"Male"	"M"	132	446131	29.6
	"Arizona"	"04"	"2006"	"2006"	"25-34 years"	"25-34"	"Male"	"M"	106	429955	24.7
	"Arizona"	"04"	"2006"	"2006"	"35-44 years"	"35-44"	"Female"	"F"	11	407003	Unreliable
	"Arizona"	"04"	"2006"	"2006"	"35-44 years"	"35-44"	"Male"	"M"	60	418806	14.3
	"Arizona"	"04"	"2006"	"2006"	"45-54 years"	"45-54"	"Male"	"M"	22	384152	5.7
	"Arizona"	"04"	"2007"	"2007"	"15-24 years"	"15-24"	"Female"	"F"	19	420486	Unreliable
	"Arizona"	"04"	"2007"	"2007"	"15-24 years"	"15-24"	"Male"	"M"	114	456430	25.0
	"Arizona"	"04"	"2007"	"2007"	"25-34 years"	"25-34"	"Female"	"F"	10	415189	Unreliable
	"Arizona"	"04"	"2007"	"2007"	"25-34 years"	"25-34"	"Male"	"M"	103	436048	23.6
	"Arizona"	"04"	"2007"	"2007"	"35-44 years"	"35-44"	"Male"	"M"	47	421172	11.2
	"Arizona"	"04"	"2007"	"2007"	"45-54 years"	"45-54"	"Male"	"M"	15	396466	Unreliable
	"Arizona"	"04"	"2007"	"2007"	"55-64 years"	"55-64"	"Male"	"M"	11	314829	Unreliable
	"Arizona"	"04"	"2008"	"2008"	"15-24 years"	"15-24"	"Female"	"F"	21	429858	4.9
	"Arizona"	"04"	"2008"	"2008"	"15-24 years"	"15-24"	"Male"	"M"	94	463561	20.3
	"Arizona"	"04"	"2008"	"2008"	"25-34 years"	"25-34"	"Male"	"M"	84	439681	19.1
	"Arizona"	"04"	"2008"	"2008"	"35-44 years"	"35-44"	"Male"	"M"	45	421296	10.7
	"Arizona"	"04"	"2008"	"2008"	"45-54 years"	"45-54"	"Male"	"M"	33	405720	8.1
	"Arizona"	"04"	"2008"	"2008"	"55-64 years"	"55-64"	"Male"	"M"	16	325075	Unreliable
	"Arizona"	"04"	"2009"	"2009"	"15-24 years"	"15-24"	"Female"	"F"	14	434779	Unreliable
	"Arizona"	"04"	"2009"	"2009"	"15-24 years"	"15-24"	"Male"	"M"	54	465623	11.6
	"Arizona"	"04"	"2009"	"2009"	"25-34 years"	"25-34"	"Male"	"M"	49	439335	11.2
	"Arizona"	"04"	"2009"	"2009"	"35-44 years"	"35-44"	"Female"	"F"	11	407826	Unreliable
	"Arizona"	"04"	"2009"	"2009"	"35-44 years"	"35-44"	"Male"	"M"	36	417962	8.6
	"Arizona"	"04"	"2009"	"2009"	"45-54 years"	"45-54"	"Female"	"F"	10	424417	Unreliable
	"Arizona"	"04"	"2009"	"2009"	"45-54 years"	"45-54"	"Male"	"M"	20	411600	4.9
	"Arizona"	"04"	"2010"	"2010"	"15-24 years"	"15-24"	"Male"	"M"	69	466842	14.8
	"Arizona"	"04"	"2010"	"2010"	"25-34 years"	"25-34"	"Male"	"M"	76	437831	17.4
	"Arizona"	"04"	"2010"	"2010"	"35-44 years"	"35-44"	"Female"	"F"	10	406371	Unreliable
	"Arizona"	"04"	"2010"	"2010"	"35-44 years"	"35-44"	"Male"	"M"	37	416123	8.9
	"Arizona"	"04"	"2010"	"2010"	"45-54 years"	"45-54"	"Male"	"M"	22	414910	5.3
	"Arizona"	"04"	"2010"	"2010"	"55-64 years"	"55-64"	"Male"	"M"	10	345619	Unreliable
	"Arizona"	"04"	"2011"	"2011"	"15-24 years"	"15-24"	"Male"	"M"	60	473061	12.7
	"Arizona"	"04"	"2011"	"2011"	"25-34 years"	"25-34"	"Male"	"M"	75	446976	16.8
	"Arizona"	"04"	"2011"	"2011"	"35-44 years"	"35-44"	"Male"	"M"	35	415289	8.4
	"Arizona"	"04"	"2011"	"2011"	"45-54 years"	"45-54"	"Male"	"M"	25	415942	6.0
	"Arizona"	"04"	"2011"	"2011"	"55-64 years"	"55-64"	"Male"	"M"	10	359537	Unreliable
	"Arizona"	"04"	"2012"	"2012"	"15-24 years"	"15-24"	"Male"	"M"	60	476802	12.6
	"Arizona"	"04"	"2012"	"2012"	"25-34 years"	"25-34"	"Female"	"F"	17	426695	Unreliable
	"Arizona"	"04"	"2012"	"2012"	"25-34 years"	"25-34"	"Male"	"M"	60	451136	13.3
	"Arizona"	"04"	"2012"	"2012"	"35-44 years"	"35-44"	"Male"	"M"	32	417254	7.7
	"Arizona"	"04"	"2012"	"2012"	"45-54 years"	"45-54"	"Female"	"F"	12	424044	Unreliable
	"Arizona"	"04"	"2012"	"2012"	"45-54 years"	"45-54"	"Male"	"M"	25	414995	6.0
	"Arizona"	"04"	"2013"	"2013"	"15-24 years"	"15-24"	"Female"	"F"	11	452510	Unreliable
	"Arizona"	"04"	"2013"	"2013"	"15-24 years"	"15-24"	"Male"	"M"	60	483017	12.4
	"Arizona"	"04"	"2013"	"2013"	"25-34 years"	"25-34"	"Male"	"M"	55	454826	12.1
	"Arizona"	"04"	"2013"	"2013"	"35-44 years"	"35-44"	"Male"	"M"	37	418675	8.8
	"Arizona"	"04"	"2013"	"2013"	"45-54 years"	"45-54"	"Male"	"M"	27	414413	6.5
	"Arizona"	"04"	"2013"	"2013"	"55-64 years"	"55-64"	"Male"	"M"	14	369020	Unreliable
	"Arizona"	"04"	"2014"	"2014"	"15-24 years"	"15-24"	"Female"	"F"	12	457205	Unreliable
	"Arizona"	"04"	"2014"	"2014"	"15-24 years"	"15-24"	"Male"	"M"	34	486536	7.0
	"Arizona"	"04"	"2014"	"2014"	"25-34 years"	"25-34"	"Female"	"F"	12	434955	Unreliable
	"Arizona"	"04"	"2014"	"2014"	"25-34 years"	"25-34"	"Male"	"M"	63	462790	13.6
	"Arizona"	"04"	"2014"	"2014"	"35-44 years"	"35-44"	"Male"	"M"	39	420753	9.3
	"Arizona"	"04"	"2014"	"2014"	"45-54 years"	"45-54"	"Male"	"M"	22	416655	5.3
	"Arizona"	"04"	"2015"	"2015"	"15-24 years"	"15-24"	"Male"	"M"	63	488873	12.9
	"Arizona"	"04"	"2015"	"2015"	"25-34 years"	"25-34"	"Female"	"F"	15	442208	Unreliable
	"Arizona"	"04"	"2015"	"2015"	"25-34 years"	"25-34"	"Male"	"M"	55	471437	11.7
	"Arizona"	"04"	"2015"	"2015"	"35-44 years"	"35-44"	"Male"	"M"	33	423311	7.8
	"Arizona"	"04"	"2015"	"2015"	"45-54 years"	"45-54"	"Male"	"M"	22	418510	5.3
	"Arkansas"	"05"	"1999"	"1999"	"15-24 years"	"15-24"	"Male"	"M"	32	193430	16.5
	"Arkansas"	"05"	"1999"	"1999"	"25-34 years"	"25-34"	"Male"	"M"	27	176049	15.3
	"Arkansas"	"05"	"1999"	"1999"	"35-44 years"	"35-44"	"Female"	"F"	11	199609	Unreliable
	"Arkansas"	"05"	"1999"	"1999"	"35-44 years"	"35-44"	"Male"	"M"	13	195273	Unreliable
	"Arkansas"	"05"	"2000"	"2000"	"15-24 years"	"15-24"	"Male"	"M"	36	193868	18.6
	"Arkansas"	"05"	"2000"	"2000"	"25-34 years"	"25-34"	"Male"	"M"	31	177274	17.5
	"Arkansas"	"05"	"2000"	"2000"	"35-44 years"	"35-44"	"Male"	"M"	14	197120	Unreliable
	"Arkansas"	"05"	"2000"	"2000"	"45-54 years"	"45-54"	"Male"	"M"	10	171244	Unreliable
	"Arkansas"	"05"	"2000"	"2000"	"55-64 years"	"55-64"	"Male"	"M"	10	122870	Unreliable
	"Arkansas"	"05"	"2001"	"2001"	"15-24 years"	"15-24"	"Male"	"M"	29	197251	14.7
	"Arkansas"	"05"	"2001"	"2001"	"25-34 years"	"25-34"	"Male"	"M"	23	175001	13.1
	"Arkansas"	"05"	"2001"	"2001"	"35-44 years"	"35-44"	"Male"	"M"	17	195794	Unreliable
	"Arkansas"	"05"	"2002"	"2002"	"15-24 years"	"15-24"	"Male"	"M"	37	198621	18.6
	"Arkansas"	"05"	"2002"	"2002"	"25-34 years"	"25-34"	"Male"	"M"	37	174883	21.2
