"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Arkansas"	"05"	"2014"	"2014"	"Female"	"F"	34	1509053	2.3
	"Arkansas"	"05"	"2014"	"2014"	"Male"	"M"	127	1457316	8.7
	"Arkansas"	"05"	"2015"	"2015"	"Female"	"F"	33	1515348	2.2
	"Arkansas"	"05"	"2015"	"2015"	"Male"	"M"	122	1462856	8.3
	"California"	"06"	"1999"	"1999"	"Female"	"F"	189	16800161	1.1
	"California"	"06"	"1999"	"1999"	"Male"	"M"	1191	16699043	7.1
	"California"	"06"	"2000"	"2000"	"Female"	"F"	191	16996756	1.1
	"California"	"06"	"2000"	"2000"	"Male"	"M"	1292	16874892	7.7
	"California"	"06"	"2001"	"2001"	"Female"	"F"	199	17294223	1.2
	"California"	"06"	"2001"	"2001"	"Male"	"M"	1390	17185235	8.1
	"California"	"06"	"2002"	"2002"	"Female"	"F"	221	17498462	1.3
	"California"	"06"	"2002"	"2002"	"Male"	"M"	1589	17373381	9.1
	"California"	"06"	"2003"	"2003"	"Female"	"F"	193	17709509	1.1
	"California"	"06"	"2003"	"2003"	"Male"	"M"	1589	17543650	9.1
	"California"	"06"	"2004"	"2004"	"Female"	"F"	174	17871415	1.0
	"California"	"06"	"2004"	"2004"	"Male"	"M"	1634	17703161	9.2
	"California"	"06"	"2005"	"2005"	"Female"	"F"	178	17996230	1.0
	"California"	"06"	"2005"	"2005"	"Male"	"M"	1700	17831713	9.5
	"California"	"06"	"2006"	"2006"	"Female"	"F"	211	18097471	1.2
	"California"	"06"	"2006"	"2006"	"Male"	"M"	1672	17923731	9.3
	"California"	"06"	"2007"	"2007"	"Female"	"F"	207	18214926	1.1
	"California"	"06"	"2007"	"2007"	"Male"	"M"	1494	18035385	8.3
	"California"	"06"	"2008"	"2008"	"Female"	"F"	188	18396972	1.0
	"California"	"06"	"2008"	"2008"	"Male"	"M"	1381	18207365	7.6
	"California"	"06"	"2009"	"2009"	"Female"	"F"	159	18583075	0.9
	"California"	"06"	"2009"	"2009"	"Male"	"M"	1301	18378154	7.1
	"California"	"06"	"2010"	"2010"	"Female"	"F"	171	18736126	0.9
	"California"	"06"	"2010"	"2010"	"Male"	"M"	1171	18517830	6.3
	"California"	"06"	"2011"	"2011"	"Female"	"F"	172	18943585	0.9
	"California"	"06"	"2011"	"2011"	"Male"	"M"	1142	18748327	6.1
	"California"	"06"	"2012"	"2012"	"Female"	"F"	163	19122866	0.9
	"California"	"06"	"2012"	"2012"	"Male"	"M"	1199	18918564	6.3
	"California"	"06"	"2013"	"2013"	"Female"	"F"	158	19268325	0.8
	"California"	"06"	"2013"	"2013"	"Male"	"M"	1154	19064196	6.1
	"California"	"06"	"2014"	"2014"	"Female"	"F"	143	19533596	0.7
	"California"	"06"	"2014"	"2014"	"Male"	"M"	1090	19268904	5.7
	"California"	"06"	"2015"	"2015"	"Female"	"F"	163	19701750	0.8
	"California"	"06"	"2015"	"2015"	"Male"	"M"	1233	19443068	6.3
	"Colorado"	"08"	"1999"	"1999"	"Female"	"F"	32	2101358	1.5
	"Colorado"	"08"	"1999"	"1999"	"Male"	"M"	89	2124660	4.2
	"Colorado"	"08"	"2000"	"2000"	"Female"	"F"	18	2135278	Unreliable
	"Colorado"	"08"	"2000"	"2000"	"Male"	"M"	66	2165983	3.0
	"Colorado"	"08"	"2001"	"2001"	"Female"	"F"	23	2195705	1.0
	"Colorado"	"08"	"2001"	"2001"	"Male"	"M"	75	2229982	3.4
	"Colorado"	"08"	"2002"	"2002"	"Female"	"F"	35	2228665	1.6
	"Colorado"	"08"	"2002"	"2002"	"Male"	"M"	81	2261741	3.6
	"Colorado"	"08"	"2003"	"2003"	"Female"	"F"	30	2253214	1.3
	"Colorado"	"08"	"2003"	"2003"	"Male"	"M"	87	2275518	3.8
	"Colorado"	"08"	"2004"	"2004"	"Female"	"F"	28	2274511	1.2
	"Colorado"	"08"	"2004"	"2004"	"Male"	"M"	103	2300502	4.5
	"Colorado"	"08"	"2005"	"2005"	"Female"	"F"	24	2308238	1.0
	"Colorado"	"08"	"2005"	"2005"	"Male"	"M"	91	2323650	3.9
	"Colorado"	"08"	"2006"	"2006"	"Female"	"F"	25	2352960	1.1
	"Colorado"	"08"	"2006"	"2006"	"Male"	"M"	79	2367463	3.3
	"Colorado"	"08"	"2007"	"2007"	"Female"	"F"	23	2396433	1.0
	"Colorado"	"08"	"2007"	"2007"	"Male"	"M"	68	2407435	2.8
	"Colorado"	"08"	"2008"	"2008"	"Female"	"F"	19	2439060	Unreliable
	"Colorado"	"08"	"2008"	"2008"	"Male"	"M"	90	2450670	3.7
	"Colorado"	"08"	"2009"	"2009"	"Female"	"F"	32	2480710	1.3
	"Colorado"	"08"	"2009"	"2009"	"Male"	"M"	76	2491485	3.1
	"Colorado"	"08"	"2010"	"2010"	"Female"	"F"	19	2508534	Unreliable
	"Colorado"	"08"	"2010"	"2010"	"Male"	"M"	78	2520662	3.1
	"Colorado"	"08"	"2011"	"2011"	"Female"	"F"	21	2549601	0.8
	"Colorado"	"08"	"2011"	"2011"	"Male"	"M"	80	2567195	3.1
	"Colorado"	"08"	"2012"	"2012"	"Female"	"F"	27	2583877	1.0
	"Colorado"	"08"	"2012"	"2012"	"Male"	"M"	88	2603705	3.4
	"Colorado"	"08"	"2013"	"2013"	"Female"	"F"	30	2621921	1.1
	"Colorado"	"08"	"2013"	"2013"	"Male"	"M"	76	2646446	2.9
	"Colorado"	"08"	"2014"	"2014"	"Female"	"F"	28	2664707	1.1
	"Colorado"	"08"	"2014"	"2014"	"Male"	"M"	74	2691159	2.7
	"Colorado"	"08"	"2015"	"2015"	"Female"	"F"	26	2712811	1.0
	"Colorado"	"08"	"2015"	"2015"	"Male"	"M"	111	2743763	4.0
	"Connecticut"	"09"	"1999"	"1999"	"Male"	"M"	75	1639253	4.6
	"Connecticut"	"09"	"2000"	"2000"	"Male"	"M"	52	1649319	3.2
	"Connecticut"	"09"	"2001"	"2001"	"Male"	"M"	64	1663876	3.8
	"Connecticut"	"09"	"2002"	"2002"	"Male"	"M"	52	1678249	3.1
	"Connecticut"	"09"	"2003"	"2003"	"Female"	"F"	10	1793468	Unreliable
	"Connecticut"	"09"	"2003"	"2003"	"Male"	"M"	46	1690868	2.7
	"Connecticut"	"09"	"2004"	"2004"	"Male"	"M"	55	1698016	3.2
	"Connecticut"	"09"	"2005"	"2005"	"Male"	"M"	58	1704888	3.4
	"Connecticut"	"09"	"2006"	"2006"	"Female"	"F"	15	1807675	Unreliable
	"Connecticut"	"09"	"2006"	"2006"	"Male"	"M"	77	1709785	4.5
	"Connecticut"	"09"	"2007"	"2007"	"Female"	"F"	14	1811617	Unreliable
	"Connecticut"	"09"	"2007"	"2007"	"Male"	"M"	53	1715653	3.1
	"Connecticut"	"09"	"2008"	"2008"	"Male"	"M"	78	1724830	4.5
	"Connecticut"	"09"	"2009"	"2009"	"Female"	"F"	11	1828779	Unreliable
	"Connecticut"	"09"	"2009"	"2009"	"Male"	"M"	67	1733028	3.9
	"Connecticut"	"09"	"2010"	"2010"	"Female"	"F"	11	1834483	Unreliable
	"Connecticut"	"09"	"2010"	"2010"	"Male"	"M"	87	1739614	5.0
	"Connecticut"	"09"	"2011"	"2011"	"Male"	"M"	88	1744816	5.0
	"Connecticut"	"09"	"2012"	"2012"	"Female"	"F"	31	1840431	1.7
	"Connecticut"	"09"	"2012"	"2012"	"Male"	"M"	83	1749916	4.7
	"Connecticut"	"09"	"2013"	"2013"	"Male"	"M"	62	1754151	3.5
	"Connecticut"	"09"	"2014"	"2014"	"Male"	"M"	54	1754549	3.1
	"Connecticut"	"09"	"2015"	"2015"	"Female"	"F"	14	1839139	Unreliable
	"Connecticut"	"09"	"2015"	"2015"	"Male"	"M"	66	1751747	3.8
	"Delaware"	"10"	"1999"	"1999"	"Male"	"M"	14	376258	Unreliable
	"Delaware"	"10"	"2001"	"2001"	"Male"	"M"	13	386350	Unreliable
	"Delaware"	"10"	"2002"	"2002"	"Male"	"M"	22	391517	5.6
	"Delaware"	"10"	"2003"	"2003"	"Male"	"M"	17	397201	Unreliable
	"Delaware"	"10"	"2004"	"2004"	"Male"	"M"	24	403483	5.9
	"Delaware"	"10"	"2005"	"2005"	"Male"	"M"	28	409923	6.8
	"Delaware"	"10"	"2006"	"2006"	"Male"	"M"	30	416502	7.2
	"Delaware"	"10"	"2007"	"2007"	"Male"	"M"	26	422351	6.2
	"Delaware"	"10"	"2008"	"2008"	"Male"	"M"	50	428393	11.7
	"Delaware"	"10"	"2009"	"2009"	"Male"	"M"	31	431935	7.2
	"Delaware"	"10"	"2010"	"2010"	"Male"	"M"	40	434939	9.2
	"Delaware"	"10"	"2011"	"2011"	"Male"	"M"	27	439836	6.1
	"Delaware"	"10"	"2012"	"2012"	"Male"	"M"	41	444358	9.2
	"Delaware"	"10"	"2013"	"2013"	"Male"	"M"	32	447947	7.1
	"Delaware"	"10"	"2014"	"2014"	"Male"	"M"	37	452689	8.2
	"Delaware"	"10"	"2015"	"2015"	"Male"	"M"	50	457809	10.9
	"District of Columbia"	"11"	"1999"	"1999"	"Female"	"F"	12	301797	Unreliable
	"District of Columbia"	"11"	"1999"	"1999"	"Male"	"M"	133	268416	49.5
	"District of Columbia"	"11"	"2000"	"2000"	"Female"	"F"	12	302693	Unreliable
	"District of Columbia"	"11"	"2000"	"2000"	"Male"	"M"	126	269366	46.8
	"District of Columbia"	"11"	"2001"	"2001"	"Male"	"M"	137	270764	50.6
	"District of Columbia"	"11"	"2002"	"2002"	"Female"	"F"	20	303146	6.6
	"District of Columbia"	"11"	"2002"	"2002"	"Male"	"M"	156	270012	57.8
	"District of Columbia"	"11"	"2003"	"2003"	"Male"	"M"	148	267895	55.2
	"District of Columbia"	"11"	"2004"	"2004"	"Female"	"F"	10	300284	Unreliable
	"District of Columbia"	"11"	"2004"	"2004"	"Male"	"M"	127	267470	47.5
	"District of Columbia"	"11"	"2005"	"2005"	"Female"	"F"	10	299613	Unreliable
	"District of Columbia"	"11"	"2005"	"2005"	"Male"	"M"	132	267523	49.3
	"District of Columbia"	"11"	"2006"	"2006"	"Male"	"M"	113	269359	42.0
	"District of Columbia"	"11"	"2007"	"2007"	"Female"	"F"	10	302949	Unreliable
	"District of Columbia"	"11"	"2007"	"2007"	"Male"	"M"	119	271455	43.8
	"District of Columbia"	"11"	"2008"	"2008"	"Male"	"M"	113	273971	41.2
	"District of Columbia"	"11"	"2009"	"2009"	"Male"	"M"	97	280400	34.6
	"District of Columbia"	"11"	"2010"	"2010"	"Male"	"M"	79	284222	27.8
	"District of Columbia"	"11"	"2011"	"2011"	"Male"	"M"	72	292221	24.6
	"District of Columbia"	"11"	"2012"	"2012"	"Male"	"M"	51	299041	17.1
	"District of Columbia"	"11"	"2013"	"2013"	"Male"	"M"	58	306250	18.9
	"District of Columbia"	"11"	"2014"	"2014"	"Male"	"M"	58	312600	18.6
	"District of Columbia"	"11"	"2015"	"2015"	"Male"	"M"	97	318601	30.4
	"Florida"	"12"	"1999"	"1999"	"Female"	"F"	112	8073847	1.4
	"Florida"	"12"	"1999"	"1999"	"Male"	"M"	433	7685574	5.6
	"Florida"	"12"	"2000"	"2000"	"Female"	"F"	93	8184663	1.1
	"Florida"	"12"	"2000"	"2000"	"Male"	"M"	374	7797715	4.8
	"Florida"	"12"	"2001"	"2001"	"Female"	"F"	119	8372776	1.4
	"Florida"	"12"	"2001"	"2001"	"Male"	"M"	454	7984190	5.7
	"Florida"	"12"	"2002"	"2002"	"Female"	"F"	131	8541734	1.5
	"Florida"	"12"	"2002"	"2002"	"Male"	"M"	504	8147636	6.2
	"Florida"	"12"	"2003"	"2003"	"Female"	"F"	120	8697573	1.4
	"Florida"	"12"	"2003"	"2003"	"Male"	"M"	540	8306512	6.5
	"Florida"	"12"	"2004"	"2004"	"Female"	"F"	116	8902447	1.3
	"Florida"	"12"	"2004"	"2004"	"Male"	"M"	531	8512871	6.2
	"Florida"	"12"	"2005"	"2005"	"Female"	"F"	104	9117950	1.1
	"Florida"	"12"	"2005"	"2005"	"Male"	"M"	527	8724088	6.0
	"Florida"	"12"	"2006"	"2006"	"Female"	"F"	142	9280080	1.5
	"Florida"	"12"	"2006"	"2006"	"Male"	"M"	661	8886910	7.4
	"Florida"	"12"	"2007"	"2007"	"Female"	"F"	147	9378587	1.6
	"Florida"	"12"	"2007"	"2007"	"Male"	"M"	788	8989255	8.8
	"Florida"	"12"	"2008"	"2008"	"Female"	"F"	135	9465279	1.4
	"Florida"	"12"	"2008"	"2008"	"Male"	"M"	751	9062026	8.3
	"Florida"	"12"	"2009"	"2009"	"Female"	"F"	166	9534289	1.7
	"Florida"	"12"	"2009"	"2009"	"Male"	"M"	638	9118355	7.0
	"Florida"	"12"	"2010"	"2010"	"Female"	"F"	151	9611955	1.6
	"Florida"	"12"	"2010"	"2010"	"Male"	"M"	616	9189355	6.7
	"Florida"	"12"	"2011"	"2011"	"Female"	"F"	158	9736166	1.6
	"Florida"	"12"	"2011"	"2011"	"Male"	"M"	659	9321376	7.1
	"Florida"	"12"	"2012"	"2012"	"Female"	"F"	159	9869741	1.6
	"Florida"	"12"	"2012"	"2012"	"Male"	"M"	703	9447827	7.4
	"Florida"	"12"	"2013"	"2013"	"Female"	"F"	142	9990213	1.4
	"Florida"	"12"	"2013"	"2013"	"Male"	"M"	674	9562647	7.0
	"Florida"	"12"	"2014"	"2014"	"Female"	"F"	125	10170011	1.2
	"Florida"	"12"	"2014"	"2014"	"Male"	"M"	693	9723286	7.1
	"Florida"	"12"	"2015"	"2015"	"Female"	"F"	127	10368733	1.2
	"Florida"	"12"	"2015"	"2015"	"Male"	"M"	753	9902539	7.6
	"Georgia"	"13"	"1999"	"1999"	"Female"	"F"	75	4096031	1.8
	"Georgia"	"13"	"1999"	"1999"	"Male"	"M"	363	3949934	9.2
	"Georgia"	"13"	"2000"	"2000"	"Female"	"F"	82	4159340	2.0
	"Georgia"	"13"	"2000"	"2000"	"Male"	"M"	360	4027113	8.9
	"Georgia"	"13"	"2001"	"2001"	"Female"	"F"	81	4256162	1.9
	"Georgia"	"13"	"2001"	"2001"	"Male"	"M"	373	4120876	9.1
	"Georgia"	"13"	"2002"	"2002"	"Female"	"F"	74	4327934	1.7
	"Georgia"	"13"	"2002"	"2002"	"Male"	"M"	403	4180322	9.6
	"Georgia"	"13"	"2003"	"2003"	"Female"	"F"	95	4394952	2.2
	"Georgia"	"13"	"2003"	"2003"	"Male"	"M"	398	4227841	9.4
	"Georgia"	"13"	"2004"	"2004"	"Female"	"F"	72	4463524	1.6
	"Georgia"	"13"	"2004"	"2004"	"Male"	"M"	347	4305728	8.1
	"Georgia"	"13"	"2005"	"2005"	"Female"	"F"	81	4555263	1.8
	"Georgia"	"13"	"2005"	"2005"	"Male"	"M"	358	4370659	8.2
	"Georgia"	"13"	"2006"	"2006"	"Female"	"F"	76	4670606	1.6
	"Georgia"	"13"	"2006"	"2006"	"Male"	"M"	419	4485207	9.3
	"Georgia"	"13"	"2007"	"2007"	"Female"	"F"	88	4777572	1.8
	"Georgia"	"13"	"2007"	"2007"	"Male"	"M"	469	4572416	10.3
	"Georgia"	"13"	"2008"	"2008"	"Female"	"F"	101	4856984	2.1
	"Georgia"	"13"	"2008"	"2008"	"Male"	"M"	414	4647859	8.9
	"Georgia"	"13"	"2009"	"2009"	"Female"	"F"	88	4917756	1.8
	"Georgia"	"13"	"2009"	"2009"	"Male"	"M"	368	4703090	7.8
	"Georgia"	"13"	"2010"	"2010"	"Female"	"F"	67	4958482	1.4
	"Georgia"	"13"	"2010"	"2010"	"Male"	"M"	376	4729171	8.0
	"Georgia"	"13"	"2011"	"2011"	"Female"	"F"	77	5012403	1.5
	"Georgia"	"13"	"2011"	"2011"	"Male"	"M"	362	4802807	7.5
	"Georgia"	"13"	"2012"	"2012"	"Female"	"F"	101	5068921	2.0
	"Georgia"	"13"	"2012"	"2012"	"Male"	"M"	380	4851024	7.8
	"Georgia"	"13"	"2013"	"2013"	"Female"	"F"	85	5110806	1.7
	"Georgia"	"13"	"2013"	"2013"	"Male"	"M"	387	4881361	7.9
	"Georgia"	"13"	"2014"	"2014"	"Female"	"F"	80	5170356	1.5
	"Georgia"	"13"	"2014"	"2014"	"Male"	"M"	426	4926987	8.6
	"Georgia"	"13"	"2015"	"2015"	"Female"	"F"	99	5234978	1.9
	"Georgia"	"13"	"2015"	"2015"	"Male"	"M"	485	4979882	9.7
	"Hawaii"	"15"	"1999"	"1999"	"Male"	"M"	16	608470	Unreliable
	"Hawaii"	"15"	"2002"	"2002"	"Male"	"M"	12	623421	Unreliable
	"Idaho"	"16"	"1999"	"1999"	"Male"	"M"	12	638876	Unreliable
	"Idaho"	"16"	"2000"	"2000"	"Male"	"M"	11	648660	Unreliable
	"Idaho"	"16"	"2001"	"2001"	"Male"	"M"	17	661919	Unreliable
	"Idaho"	"16"	"2002"	"2002"	"Male"	"M"	11	671686	Unreliable
	"Idaho"	"16"	"2003"	"2003"	"Male"	"M"	12	683503	Unreliable
	"Idaho"	"16"	"2004"	"2004"	"Male"	"M"	14	698616	Unreliable
	"Idaho"	"16"	"2005"	"2005"	"Male"	"M"	22	716258	3.1
	"Idaho"	"16"	"2006"	"2006"	"Male"	"M"	15	736565	Unreliable
	"Idaho"	"16"	"2007"	"2007"	"Male"	"M"	22	754978	2.9
	"Idaho"	"16"	"2008"	"2008"	"Male"	"M"	10	769528	Unreliable
	"Idaho"	"16"	"2012"	"2012"	"Male"	"M"	11	798612	Unreliable
	"Idaho"	"16"	"2013"	"2013"	"Male"	"M"	10	807084	Unreliable
	"Idaho"	"16"	"2014"	"2014"	"Male"	"M"	14	818496	Unreliable
	"Idaho"	"16"	"2015"	"2015"	"Male"	"M"	17	828747	Unreliable
	"Illinois"	"17"	"1999"	"1999"	"Female"	"F"	77	6313350	1.2
	"Illinois"	"17"	"1999"	"1999"	"Male"	"M"	612	6045670	10.1
